Date,ItraxxMain,ItraxxXover,CDX_IG,SPX_Price,SPX_Volume,EuSt_Price,EuSt_Volume
2007-03-20,100.0,100.0,100.0,1410.94,1182479104.0,4079.52,913446592.0
2007-03-21,100.0287,100.2951,100.085,1435.04,1399847424.0,4078.29,862450368.0
2007-03-22,100.0833,100.8037,100.1147,1434.54,1286669440.0,4170.0801,1174437248.0
2007-03-23,100.109,100.8924,100.1108,1436.11,1122459392.0,4191.5801,921907136.0
2007-03-26,100.1063,100.7493,100.0683,1437.5,1187999488.0,4142.1099,989358720.0
2007-03-27,100.0982,100.7446,100.0477,1428.61,1146715776.0,4153.6099,776290816.0
2007-03-28,100.0918,100.3873,99.9746,1417.23,1280593664.0,4128.2002,805994752.0
2007-03-29,100.0935,100.506,99.9827,1422.53,1229224704.0,4180.0698,744551168.0
2007-03-30,100.0925,100.6507,99.9446,1420.86,1257819904.0,4181.0298,810129600.0
2007-04-02,100.0848,100.5117,99.9131,1424.55,1232983680.0,4189.5498,1732835968.0
2007-04-03,100.085,100.7603,99.9471,1437.77,1231953024.0,4246.2998,1312982912.0
2007-04-04,100.084,100.7935,99.9437,1439.37,1100468992.0,4261.8301,1344189952.0
2007-04-05,100.0771,100.834,99.9943,1443.76,978569024.0,4271.54,1062672768.0
2007-04-10,100.0833,101.1365,99.9908,1448.39,1067219776.0,4301.4702,1067240448.0
2007-04-11,100.1029,101.2408,100.0025,1438.87,1266244352.0,4293.2002,1083754240.0
2007-04-12,100.1122,101.3561,99.9936,1447.8,1194018176.0,4280.02,1003297728.0
2007-04-13,100.1268,101.5304,100.0292,1452.85,1207377536.0,4317.3501,1327582848.0
2007-04-16,100.1533,101.7761,100.0584,1468.47,1241693824.0,4379.25,1234359552.0
2007-04-17,100.1637,101.9601,100.077,1471.48,1319991808.0,4384.3799,1337746816.0
2007-04-18,100.1719,102.0416,100.0855,1472.5,1453289216.0,4358.9502,1192807296.0
2007-04-19,100.1664,101.944,100.1164,1470.73,1396049920.0,4339.9302,1435085312.0
2007-04-20,100.1841,102.0615,100.1479,1484.35,1776314240.0,4416.79,1487362560.0
2007-04-23,100.1939,102.171,100.1489,1480.93,1223794432.0,4400.1201,962180928.0
2007-04-24,100.1939,102.1248,100.1245,1480.41,1427546752.0,4367.8301,1187587840.0
2007-04-25,100.1953,102.0669,100.1244,1495.42,1555862400.0,4404.4399,1135375872.0
2007-04-26,100.1899,102.023,100.1051,1494.25,1469502848.0,4414.21,1315598208.0
2007-04-27,100.1715,101.8145,100.0757,1494.07,1266944128.0,4383.1299,1432704640.0
2007-04-30,100.1766,101.8042,100.0713,1482.37,1347917312.0,4392.3398,1015062272.0
2007-05-02,100.1865,101.8342,100.0907,1495.92,1286470528.0,4415.48,1394445440.0
2007-05-03,100.1911,101.796,100.0962,1502.39,1267200384.0,4427.3198,1505875328.0
2007-05-04,100.1934,101.837,100.0948,1505.62,1422630784.0,4445.5898,1369360512.0
2007-05-08,100.1922,101.8273,100.101,1507.72,1192953472.0,4411.3198,1364262784.0
2007-05-09,100.1928,101.8901,100.1157,1512.58,1296280320.0,4425.0298,1010058560.0
2007-05-10,100.2005,101.9814,100.115,1491.47,1263089920.0,4391.8701,1078187264.0
2007-05-11,100.201,101.9481,100.1242,1505.85,1121728000.0,4423.0698,1423668608.0
2007-05-14,100.2061,102.0656,100.1406,1503.15,1158951808.0,4413.7202,1225848704.0
2007-05-15,100.2148,102.1099,100.1352,1501.19,1368449408.0,4441.0298,1642052224.0
2007-05-16,100.2211,102.1013,100.1393,1514.14,1267105280.0,4422.6201,1430451968.0
2007-05-17,100.2388,102.0169,100.1376,1512.75,1185798656.0,4428.5698,1275956352.0
2007-05-18,100.2445,102.0726,100.1529,1522.75,1402178048.0,4480.8101,1113526272.0
2007-05-21,100.259,102.2359,100.1614,1525.1,1203079040.0,4465.54,1164662400.0
2007-05-22,100.2682,102.4202,100.189,1524.12,1126726016.0,4469.8799,1023312704.0
2007-05-23,100.288,102.5581,100.2044,1522.28,1264235776.0,4499.6899,1174747392.0
2007-05-24,100.3031,102.5214,100.1846,1507.51,1472266496.0,4452.7002,1322511744.0
2007-05-25,100.2987,102.4718,100.1965,1515.73,980251520.0,4463.52,1437467008.0
2007-05-29,100.313,102.6006,100.1838,1518.11,1165028480.0,4474.8101,973287168.0
2007-05-30,100.2993,102.4635,100.1811,1530.23,1272215808.0,4468.7202,1105360896.0
2007-05-31,100.3124,102.5996,100.1919,1530.62,1474334208.0,4512.6499,1116527744.0
2007-06-01,100.3212,102.6569,100.2049,1536.34,1159784448.0,4556.9702,1255414400.0
2007-06-04,100.3275,102.6767,100.2133,1539.18,1063906432.0,4537.8101,1022887680.0
2007-06-05,100.3292,102.665,100.2187,1530.95,1330266368.0,4513.1802,1177724928.0
2007-06-06,100.316,102.4864,100.1788,1517.38,1277292544.0,4437.29,1107888128.0
2007-06-07,100.2836,102.1013,100.1159,1490.72,1609137152.0,4381.4502,1574772864.0
2007-06-08,100.2483,101.8905,100.1447,1507.67,1312504704.0,4376.4199,1431930624.0
2007-06-11,100.2747,102.0411,100.1474,1509.12,1074787712.0,4415.5,974529920.0
2007-06-12,100.2763,101.9818,100.1132,1493.0,1316671872.0,4383.02,1493621760.0
2007-06-13,100.2642,101.9659,100.1181,1515.67,1339313024.0,4401.6802,1237682432.0
2007-06-14,100.2888,102.0899,100.1276,1522.97,1181714944.0,4485.04,1194091264.0
2007-06-15,100.3043,102.4861,100.1537,1532.91,1782961664.0,4551.0,1926118784.0
2007-06-18,100.3156,102.5542,100.1474,1531.05,1011940352.0,4530.2202,1020316288.0
2007-06-19,100.312,102.4973,100.1114,1533.71,1210283904.0,4527.2202,1048232448.0
2007-06-20,100.2928,102.485,100.0468,1512.84,1353249280.0,4545.6099,1017277568.0
2007-06-21,100.2443,102.0178,100.0298,1522.19,1336006528.0,4488.6602,1119719680.0
2007-06-22,100.2011,101.7435,99.9775,1502.56,1929748096.0,4479.3599,766118912.0
2007-06-25,100.162,101.5236,99.9573,1497.74,1375775104.0,4471.1299,1010639872.0
2007-06-26,100.1619,101.5588,99.9834,1492.89,1384947456.0,4433.04,1137608704.0
2007-06-27,100.1377,101.3006,99.9799,1506.35,1397333632.0,4412.1201,1122175744.0
2007-06-28,100.1432,101.2547,99.9718,1505.71,1228441088.0,4457.9902,762567552.0
2007-06-29,100.142,101.191,99.8993,1503.35,1415260288.0,4489.77,810046720.0
2007-07-02,100.092,100.6325,99.8963,1519.43,1090158080.0,4470.2598,792963648.0
2007-07-03,100.0962,100.7004,99.8752,1524.87,617990528.0,4513.0098,746503552.0
2007-07-05,100.124,100.8425,99.8622,1525.4,1152842368.0,4491.8701,697112896.0
2007-07-06,100.085,100.5249,99.8472,1530.44,999257280.0,4524.4502,626674432.0
2007-07-09,100.0895,100.4985,99.856,1531.85,1129562752.0,4528.7598,646579904.0
2007-07-10,100.0097,99.5965,99.6986,1510.12,1437572480.0,4474.1499,948600192.0
2007-07-11,99.8135,98.5798,99.6255,1518.76,1254751360.0,4447.52,962783360.0
2007-07-12,99.8876,99.0571,99.7998,1547.7,1456347264.0,4517.7002,786206784.0
2007-07-13,99.9519,99.5566,99.8752,1552.5,1095475968.0,4542.5698,775259776.0
2007-07-16,100.0117,99.6273,99.8414,1549.52,1084790272.0,4557.5698,711314240.0
2007-07-17,99.9427,98.9419,99.7164,1549.37,1293269504.0,4538.3101,1002090496.0
2007-07-18,99.828,98.0388,99.5932,1546.17,1532230272.0,4472.2202,843098048.0
2007-07-19,99.8298,98.2439,99.5961,1553.08,1359360000.0,4522.6401,1159250944.0
2007-07-20,99.6732,96.8745,99.471,1534.1,1761503744.0,4445.23,1126466944.0
2007-07-23,99.631,96.3917,99.4368,1541.57,1255957632.0,4482.75,790485120.0
2007-07-24,99.6168,95.9446,99.3859,1511.04,1654792320.0,4412.0601,830644224.0
2007-07-25,99.6631,96.2164,99.3119,1518.09,1626818944.0,4360.8999,1218949888.0
2007-07-26,99.3852,94.8635,98.7597,1482.67,2273860352.0,4252.9199,1424357760.0
2007-07-27,98.9401,93.7292,98.4604,1458.95,1847576064.0,4244.5801,1459452032.0
2007-07-30,98.2929,92.5788,98.4067,1473.91,1645407232.0,4239.1802,996292480.0
2007-07-31,98.972,94.6871,98.4847,1455.28,1810195200.0,4315.6899,1205132288.0
2007-08-01,98.6749,93.8607,98.3839,1465.81,1969944448.0,4237.0498,1256262016.0
2007-08-02,98.9611,95.1268,98.5946,1472.2,1549142016.0,4288.6602,1260002176.0
2007-08-03,98.8709,94.8626,98.2949,1433.06,1726141440.0,4229.1899,859892608.0
2007-08-06,98.6463,94.4112,98.4014,1467.67,1801014912.0,4202.7798,931961664.0
2007-08-07,98.9259,95.582,98.6685,1476.71,1774204032.0,4276.7998,851661760.0
2007-08-08,99.3227,97.1066,99.1086,1497.49,1947811072.0,4364.2202,1062401152.0
2007-08-09,99.1523,96.7719,98.8341,1453.09,2117318656.0,4275.1802,1247676672.0
2007-08-10,99.0431,96.2819,98.833,1453.64,1959576832.0,4161.29,1709678208.0
2007-08-13,99.1756,97.2842,98.5619,1452.92,1362821248.0,4255.79,888390912.0
2007-08-14,98.9611,96.6671,98.4487,1426.54,1445410432.0,4195.6001,861868032.0
2007-08-15,98.9313,96.4907,98.3323,1406.7,1598312192.0,4183.0601,511957824.0
2007-08-16,98.7783,95.5463,98.2672,1411.27,2409506560.0,4062.3301,1471497984.0
2007-08-17,99.0075,96.8469,98.6408,1445.94,2069152512.0,4157.2002,2009597696.0
2007-08-20,99.198,97.3087,98.6654,1445.55,1233014912.0,4173.29,887511488.0
2007-08-21,99.1451,97.1892,98.6943,1447.12,1141697536.0,4175.0698,833752192.0
