Date, Open, High, Low, Close
02/07/23, 103.54, 103.96, 103.00, 103.43
02/06/23, 102.99, 103.77, 103.01, 103.62
02/03/23, 101.83, 103.01, 101.55, 102.92
02/02/23, 100.85, 101.91, 100.82, 101.75
02/01/23, 102.09, 102.19, 101.04, 101.22
01/31/23, 102.19, 102.61, 102.01, 102.10
01/30/23, 101.92, 102.31, 101.66, 102.28
01/27/23, 101.72, 102.19, 101.68, 101.93
01/26/23, 101.58, 102.18, 101.50, 101.84
01/25/23, 102.00, 102.12, 101.58, 101.64
01/24/23, 101.99, 102.43, 101.72, 101.92
01/23/23, 101.99, 102.28, 101.59, 102.14
01/20/23, 102.08, 102.55, 101.94, 102.01
01/19/23, 102.38, 102.48, 101.99, 102.06
01/18/23, 102.47, 102.90, 101.53, 102.36
01/17/23, 102.32, 102.56, 101.94, 102.39
01/16/23, 102.18, 102.56, 101.77, 102.20
01/13/23, 102.21, 102.65, 101.99, 102.20
01/12/23, 103.06, 103.29, 102.08, 102.25
01/11/23, 103.22, 103.48, 103.11, 103.19
01/10/23, 103.29, 103.49, 103.03, 103.24
01/09/23, 103.91, 103.94, 102.94, 103.00
01/06/23, 105.05, 105.63, 103.87, 103.88
01/05/23, 104.07, 105.27, 103.98, 105.04
01/04/23, 104.58, 104.60, 103.83, 104.25
01/03/23, 103.66, 104.86, 103.47, 104.52
01/01/23, 103.49, 104.10, 103.39, 103.49
12/30/22, 103.95, 104.10, 103.39, 103.52
12/29/22, 104.37, 104.45, 103.78, 103.84
12/28/22, 104.33, 104.56, 103.85, 104.46
12/27/22, 104.12, 104.40, 103.89, 104.18
12/23/22, 104.39, 104.54, 104.12, 104.33
12/22/22, 104.22, 104.60, 103.75, 104.43
12/21/22, 103.95, 104.38, 103.85, 104.16
12/20/22, 104.73, 104.79, 103.78, 103.97
12/19/22, 104.84, 104.93, 104.13, 104.72
12/16/22, 104.45, 104.84, 104.21, 104.70
12/15/22, 103.67, 104.88, 103.54, 104.56
12/14/22, 104.07, 104.16, 103.45, 103.77
12/13/22, 104.99, 105.09, 103.59, 103.98
12/12/22, 104.93, 105.25, 104.67, 105.13
12/09/22, 104.86, 105.14, 104.48, 104.81
12/08/22, 105.20, 105.43, 104.72, 104.77
12/07/22, 105.63, 105.82, 104.88, 105.10
12/06/22, 105.16, 105.63, 104.89, 105.58
12/05/22, 104.51, 105.40, 104.11, 105.29
12/02/22, 104.82, 105.58, 104.38, 104.55
12/01/22, 105.70, 105.90, 104.66, 104.73
11/30/22, 106.72, 107.19, 105.78, 105.95
11/29/22, 106.57, 106.88, 106.06, 106.82
11/28/22, 106.06, 106.75, 105.32, 106.68
11/25/22, 105.95, 106.42, 105.69, 105.96
11/24/22, 105.99, 106.07, 105.63, 106.08
11/23/22, 107.08, 107.22, 106.03, 106.08
11/22/22, 107.70, 107.75, 107.12, 107.22
11/21/22, 106.97, 107.99, 106.89, 107.83
11/18/22, 106.69, 107.04, 106.34, 106.93
11/17/22, 106.27, 107.24, 106.10, 106.69
11/16/22, 106.58, 106.78, 105.86, 106.28
11/15/22, 107.00, 107.10, 105.34, 106.40
11/14/22, 106.81, 107.27, 106.48, 106.66
11/11/22, 108.23, 108.44, 106.28, 106.29
11/10/22, 110.30, 110.99, 107.71, 108.21
11/09/22, 109.65, 110.64, 109.45, 110.55
11/08/22, 110.06, 110.61, 109.37, 109.64
11/07/22, 111.17, 111.27, 110.05, 110.12
11/04/22, 112.97, 112.99, 110.72, 110.88
11/03/22, 112.17, 113.15, 111.82, 112.93
11/02/22, 111.53, 112.15, 110.43, 111.34
11/01/22, 111.52, 111.78, 110.72, 111.48
10/31/22, 110.67, 111.67, 110.72, 111.53
10/28/22, 110.50, 111.04, 110.29, 110.75
10/27/22, 109.62, 110.62, 109.53, 110.59
10/26/22, 110.96, 111.14, 109.63, 109.70
10/25/22, 111.82, 112.13, 110.76, 110.95
10/24/22, 111.88, 112.53, 111.47, 111.99
10/21/22, 112.94, 113.94, 111.70, 112.01
10/20/22, 112.99, 113.09, 112.17, 112.88
10/19/22, 111.91, 113.09, 111.92, 112.98
10/18/22, 112.07, 112.45, 111.77, 112.13
10/17/22, 113.22, 113.22, 111.92, 112.04
10/14/22, 112.47, 113.42, 112.16, 113.31
10/13/22, 113.24, 113.92, 112.15, 112.36
10/12/22, 113.31, 113.59, 113.05, 113.32
10/11/22, 113.08, 113.50, 112.41, 113.22
10/10/22, 112.84, 113.33, 112.62, 113.14
10/07/22, 112.25, 112.88, 111.95, 112.80
10/06/22, 111.02, 112.31, 110.78, 112.26
10/05/22, 110.22, 111.73, 110.09, 110.06
10/04/22, 111.59, 111.89, 110.06, 110.06
10/03/22, 112.17, 112.54, 111.47, 111.75
09/30/22, 111.75, 112.67, 111.58, 112.12
09/29/22, 113.01, 113.79, 111.77, 112.25
